nber_category;nber_cat_name;nber_subcategory;nber_subcat_name;uspto_classes
1;Chemical;11;Agriculture, Food, Textiles;[8, 19, 71, 127, 442, 504]
1;Chemical;12;Coating;[106, 118, 401, 427]
1;Chemical;13;Gas;[48, 55, 95, 96]
1;Chemical;14;Organic Compounds;[534, 536, 540, 544, 546, 548, 549, 552, 554, 556, 558, 560, 562, 564, 568, 570]
1;Chemical;15;Resins;[520, 521, 522, 523, 524, 525, 526, 527, 528, 530]
1;Chemical;19;Miscellaneous-chemical;[23, 34, 44, 102, 117, 149, 156, 159, 162, 196, 201, 202, 203, 204, 205, 208, 210, 216, 222, 252, 260, 261, 349, 366, 416, 422, 423, 430, 436, 494, 501, 502, 510, 512, 516, 518, 585, 588]
2;Computers & Communications;21;Communications;[178, 333, 340, 342, 343, 358, 367, 370, 375, 379, 385, 455]
2;Computers & Communications;22;Computer Hardware & Software;341, 380, 382, 395, 700, 701, 702, 704, 705, 706, 707, 708, 709, 710, 712, 713, 714
2;Computers & Communications;23;Computer Peripherials;345, 347
2;Computers & Communications;24;Information Storage;360, 365, 369, 711
3;Drugs & Medical;31;Drugs;424, 514
3;Drugs & Medical;32;Surgery & Med Inst.;128, 600, 601, 602, 604, 606, 607
3;Drugs & Medical;33;Biotechnology;435, 800
3;Drugs & Medical;39;Miscellaneous-Drgs & Med;351, 433, 623
4;Electrical & Electronic;41;Electrical Devices;174, 200, 327, 329, 330, 331, 332, 334, 335, 336, 337, 338, 392, 439
4;Electrical & Electronic;42;Electrical Lighting;313, 314, 315, 362, 372, 445
4;Electrical & Electronic;43;Measuring & Testing;73, 324, 356, 374
4;Electrical & Electronic;44;Nuclear & X-rays;250, 376, 378
4;Electrical & Electronic;45;Power Systems;60, 136, 290, 310, 318, 320, 322, 323, 361, 363, 388, 429
4;Electrical & Electronic;46;Semiconductor Devices;257, 326, 438, 505
4;Electrical & Electronic;49;Miscellaneous-Elec;191, 218, 219, 307, 346, 348, 377, 381, 386
5;Mechanical;51;Mat. Proc & Handling;65, 82, 83, 125, 141, 142, 144, 173, 209, 221, 225, 226, 234, 241, 242, 264, 271, 407, 408, 409, 414, 425, 451, 493
5;Mechanical;52;Metal Working;29, 72, 75, 76, 140, 147, 148, 163, 164, 228, 266, 270, 413, 419, 420
5;Mechanical;53;Motors & Engines + Parts;91, 92, 123, 185, 188, 192, 251, 303, 415, 417, 418, 464, 474, 475, 476, 477
5;Mechanical;54;Optics;352, 353, 355, 359, 396, 399
5;Mechanical;55;Transportation;104, 105, 114, 152, 180, 187, 213, 238, 244, 246, 258, 280, 293, 295, 296, 298, 301, 305, 410, 440
5;Mechanical;59;Miscellaneous-Mechanical;7, 16, 42, 49, 51, 74, 81, 86, 89, 100, 124, 157, 184, 193, 194, 198, 212, 227, 235, 239, 254, 267, 291, 294, 384, 400, 402, 406, 411, 453, 454, 470, 482, 483, 492, 508
6;Others;61;Agriculture, Husbandry, Food;43, 47, 56, 99, 111, 119, 131, 426, 449, 452, 460
6;Others;62;Amusement Devices;273, 446, 463, 472, 473
6;Others;63;Apparel & Textile;2, 12, 24, 26, 28, 36, 38, 57, 66, 68, 69, 79, 87, 112, 139, 223, 450
6;Others;64;Earth Working & Wells;37, 166, 171, 172, 175, 299, 405, 507
6;Others;65;Furniture, House Fixtures;4, 5, 30, 70, 132, 182, 211, 256, 297, 312
6;Others;66;Heating;110, 122, 126, 165, 237, 373, 431, 432
6;Others;67;Pipes & Joints;138, 277, 285, 403
6;Others;68;Receptacles;53, 206, 215, 217, 220, 224, 229, 232, 383
6;Others;69;Miscellaneous-Others;1, 14, 15, 27, 33, 40, 52, 54, 59, 62, 63, 84, 101, 108, 109, 116, 134, 135, 137, 150, 160, 168, 169, 177, 181, 186, 190, 199, 231, 236, 245, 248, 249, 269, 276, 278, 279, 281, 283, 289, 292, 300, 368, 404, 412, 428, 434, 441, 462, 503
